Data Set,Model,Features Method,F1-score,AUC ROC,max_depth,min_samples_leaf,min_samples_split,n_estimators
2,RandomForestClassifier,Unigrams,0.8423326133909288,0.5018511486614772,,1,2,10
0,RandomForestClassifier,Unigrams,0.8556149732620322,0.759457448635037,,1,2,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,2,100
2,RandomForestClassifier,Unigrams,0.8897959183673468,0.5085912284032656,,1,2,100
0,RandomForestClassifier,Unigrams,0.8617021276595745,0.7652377954558461,,1,2,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,2,1000
2,RandomForestClassifier,Unigrams,0.9054325955734406,0.5238750711980253,,1,2,1000
0,RandomForestClassifier,Unigrams,0.8601583113456465,0.7582269787672409,,1,2,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,2,2000
2,RandomForestClassifier,Unigrams,0.9014084507042254,0.5108220998670969,,1,2,2000
0,RandomForestClassifier,Unigrams,0.8021390374331551,0.6810507640359411,,1,5,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,5,10
2,RandomForestClassifier,Unigrams,0.8325991189427313,0.5213594076324283,,1,5,10
0,RandomForestClassifier,Unigrams,0.8491048593350383,0.7223430435529101,,1,5,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,5,100
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,,1,5,100
0,RandomForestClassifier,Unigrams,0.8601583113456465,0.7582269787672409,,1,5,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,5,1000
2,RandomForestClassifier,Unigrams,0.9036144578313253,0.5130055059806341,,1,5,1000
0,RandomForestClassifier,Unigrams,0.863157894736842,0.7611171521776456,,1,5,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,5,2000
2,RandomForestClassifier,Unigrams,0.8991935483870968,0.50863869375356,,1,5,2000
0,RandomForestClassifier,Unigrams,0.8142076502732241,0.7128140559720713,,3,2,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,2,10
2,RandomForestClassifier,Unigrams,0.8979591836734694,0.5346971710651225,,3,2,10
0,RandomForestClassifier,Unigrams,0.8489583333333334,0.7334745035197161,,3,2,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,2,100
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,,3,2,100
0,RandomForestClassifier,Unigrams,0.8647214854111406,0.7681279688662508,,3,2,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,2,1000
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,,3,2,1000
0,RandomForestClassifier,Unigrams,0.8663101604278075,0.7751387855548562,,3,2,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,2,2000
2,RandomForestClassifier,Unigrams,0.9083665338645419,0.5086861591038542,,3,2,2000
0,RandomForestClassifier,Unigrams,0.8426666666666667,0.7388256166657128,,3,5,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,5,10
2,RandomForestClassifier,Unigrams,0.857758620689655,0.5431934687677995,,3,5,10
0,RandomForestClassifier,Unigrams,0.8526315789473684,0.7454358152578264,,3,5,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,5,100
2,RandomForestClassifier,Unigrams,0.9021956087824351,0.49344978165938863,,3,5,100
0,RandomForestClassifier,Unigrams,0.8624338624338623,0.7631774738167458,,3,5,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,5,1000
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,,3,5,1000
0,RandomForestClassifier,Unigrams,0.8677248677248678,0.7710181422766553,,3,5,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,3,5,2000
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,,3,5,2000
